//Ideal_X,Ideal_Y,Real_X,Real_Y
-50,-50,-49.75,-49
-50,-40,,
-50,-30,,
-50,-20,,
-50,-10,,
-50,0,-49.5,0
-50,10,,
-50,20,,
-50,30,,
-50,40,,
-50,50,-49.75,49
-40,-50,,
-40,-40,,
-40,-30,,
-40,-20,,
-40,-10,,
-40,0,,
-40,10,,
-40,20,,
-40,30,,
-40,40,,
-40,50,,
-30,-50,,
-30,-40,,
-30,-30,,
-30,-20,,
-30,-10,,
-30,0,,
-30,10,,
-30,20,,
-30,30,,
-30,40,,
-30,50,,
-20,-50,,
-20,-40,,
-20,-30,,
-20,-20,,
-20,-10,,
-20,0,,
-20,10,,
-20,20,,
-20,30,,
-20,40,,
-20,50,,
-10,-50,,
-10,-40,,
-10,-30,,
-10,-20,,
-10,-10,,
-10,0,,
-10,10,,
-10,20,,
-10,30,,
-10,40,,
-10,50,,
0,-50,0,-49.5
0,-40,,
0,-30,,
0,-20,,
0,-10,,
0,0,0,0
0,10,,
0,20,,
0,30,,
0,40,,
0,50,0,49.5
10,-50,,
10,-40,,
10,-30,,
10,-20,,
10,-10,,
10,0,,
10,10,,
10,20,,
10,30,,
10,40,,
10,50,,
20,-50,,
20,-40,,
20,-30,,
20,-20,,
20,-10,,
20,0,,
20,10,,
20,20,,
20,30,,
20,40,,
20,50,,
30,-50,,
30,-40,,
30,-30,,
30,-20,,
30,-10,,
30,0,,
30,10,,
30,20,,
30,30,,
30,40,,
30,50,,
40,-50,,
40,-40,,
40,-30,,
40,-20,,
40,-10,,
40,0,,
40,10,,
40,20,,
40,30,,
40,40,,
40,50,,
50,-50,49.75,-49
50,-40,,
50,-30,,
50,-20,,
50,-10,,
50,0,49.5,0
50,10,,
50,20,,
50,30,,
50,40,,
50,50,49.75,49
